"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","71/1753","252/9561",6.96894551527527e-05,0.00187089383448544,0.00155743235806962,"857/3800/11031/55616/9265/9266/409/3560/23362/116986/408/1956/387680/9230/56904/2348/80223/51652/84364/9146/858/79643/5371/9829/10564/84313/3482/138429/10093/7046/9267/64145/253725/653857/64411/1173/51100/10015/58533/64744/163/3312/1211/7189/128866/30845/7456/9727/10092/10193/3105/10565/829/55737/26052/6457/375/57154/2261/83737/867/10094/92421/11311/381/116988/10096/3303/84440/55738/2868",71
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","69/1753","249/9561",0.000152070996684844,0.00342393821350868,0.00285026978413028,"20/1512/411/2519/2548/4864/53373/2517/1515/5660/10053/4758/5641/55353/10542/967/6272/64798/2475/84335/57521/54982/23461/3988/3373/535/26503/55317/6609/3482/23545/2799/1514/410/1173/9516/58528/8722/1508/526/7805/950/163/65082/9907/4891/1211/91056/10717/26985/2055/2717/8906/23503/5007/114880/4126/10325/55737/282991/3425/9675/9894/729991/1522/1510/51172/10670/3423",69
"hsa04518",NA,NA,"hsa04518","Integrin signaling","47/1753","154/9561",0.000153571826681706,0.00342393821350868,0.00285026978413028,"1277/5649/1298/7058/3383/4233/1282/6696/55742/1292/80144/1956/3691/894/5159/3694/2200/2475/1284/341640/718/3693/3371/1287/3683/3685/55679/284217/60/207/5228/55612/5295/1299/3674/2316/7423/3672/3678/5829/71/7424/3384/208/2064/87/1499",47
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","38/1753","117/9561",0.000156971379415871,0.00342393821350868,0.00285026978413028,"10902/1107/6602/9555/3065/53615/10445/10524/54107/6760/3015/26122/8289/196528/2186/93973/6598/60/80314/57504/10856/54108/55766/55193/8607/283899/55929/71/65980/54617/54891/29994/83444/6604/29844/9275/5977/57492",38
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","58/1753","203/9561",0.000208404645793917,0.004278424787181,0.00356159023152453,"1364/10382/10376/3606/10381/7124/7132/84790/3569/84617/7846/10383/203068/9265/9266/10686/4646/5010/4691/347733/2597/4615/3654/8737/2149/3576/10458/355/9368/10061/10093/8795/9267/7277/653857/79784/7280/2534/60/10787/4542/114483834/7189/7430/7456/10092/375/71/4792/10094/23191/5603/137075/114548/9076/10096/26999/841",58
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","51/1753","180/9561",0.000606628025896127,0.011761843390986,0.00979118918990241,"3054/7124/7132/3569/6891/10189/4939/4938/64135/3109/57506/29992/4615/3654/2475/3108/718/5371/355/5819/6428/3119/6431/10379/3123/29990/3665/207/6892/5295/811/6352/8893/3678/7189/64170/4940/3105/6890/3455/6427/1978/4792/727/6041/972/567/3717/208/841/5499",51
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","28/1753","86/9561",0.00105432732913891,0.0193663283089201,0.0161215702405729,"489/2697/3691/3694/4000/59283/3693/3685/1674/284217/60/3728/3674/3672/3678/1605/785/1756/71/776/83439/6543/1824/488/6641/487/8910/1499",28
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","31/1753","99/9561",0.00121211120467993,0.0210468987455168,0.0175205671957854,"7134/489/7124/3569/7170/51422/3691/3694/4000/59283/3693/7137/3685/5563/1674/7171/284217/60/3674/3672/3678/1605/785/1756/71/776/6543/488/6641/487/8910",31
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","45/1753","159/9561",0.00126643230273883,0.0210468987455168,0.0175205671957854,"10382/9902/10376/10381/7058/84790/6891/84617/7846/10383/203068/3109/1780/347733/1781/338382/9146/3108/718/3693/9341/535/23545/1514/715/3685/7277/3119/11151/7280/51143/526/3123/60/55176/811/3678/3105/929/949/6890/71/29927/83547/4481",45
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","33/1753","109/9561",0.00162147949986616,0.0257225611569677,0.0214128393283761,"51085/7124/7132/3569/8473/5792/84699/51422/64764/1374/2475/2997/5836/9882/5563/2673/8660/376497/207/133522/5524/5295/10488/5581/92579/4792/3643/6514/79660/6517/208/5499/5509",33
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","43/1753","156/9561",0.00278853550227982,0.0419627003367713,0.0349320020900283,"1364/7124/4599/7132/1026/4939/4938/10686/91543/5518/5010/7534/1956/57506/8837/8737/7529/4600/355/3627/4893/10379/5515/3665/207/5295/3434/7189/4940/1870/369/949/3455/975/4792/5516/6041/137075/9076/208/6654/841/1499",43
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","26/1753","83/9561",0.00288568712917625,0.0419627003367713,0.0349320020900283,"26147/3054/8473/23466/3065/10238/51460/3607/6500/100170841/1387/22992/57666/84678/83746/8314/84458/10600/84456/84733/1912/171023/11091/3720/6322/63035",26
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","43/1753","157/9561",0.00317505143763907,0.0443237180694415,0.0368974398647741,"4035/489/4240/8877/338440/8578/54896/1374/140885/338382/4953/3693/6868/3988/1847/1051/64284/3685/100133941/84466/6376/2621/9564/405/682/65082/5175/8398/811/9392/558/6566/7301/5603/5029/488/10461/487/3717/4772/7386/961/23200",43
